Price,Address,Beds,Baths,Footage,Type
335000,24,2,1,72,3
295000,22,3,1,86,4
1350000,4,3,2,161,4
295000,14,1,1,46,2
220000,8,1,1,43,2
1100000,2,3,2,149,5
725000,3,2,2,128,6
995000,3,7,2,290,1
220000,3,2,1,36,4
399000,24,4,3,125,6
595000,7,3,3,102,4
260000,24,3,2,98,4
375000,8,2,2,80,2
350000,8,2,1,55,4
1095000,18,5,2,277,6
250000,1,2,1,45,2
650000,11,4,1,134,4
399000,5,2,1,78,4
325000,24,2,1,51,3
315000,18,2,2,77,2
1375000,8,3,3,250,2
1300000,4,4,3,138,5
330000,4,1,1,61,2
1750000,6,3,2,215,4
675000,4,3,2,145,2
895000,3,4,3,180,5
595000,6,3,1,81,1
260000,15,2,2,64,4
260000,9,2,2,66,2
895000,18,5,3,208,6
395000,14,2,1,56,5
375000,7,2,1,68,4
275000,7,2,1,43,3
390000,2,2,1,80,2
399000,13,4,2,182,5
239950,1,1,1,51,2
595000,16,4,3,135,1
825000,14,4,2,135,1
1425000,6,3,3,164,1
350000,3,2,1,66,2
350000,9,2,2,82,2
295000,13,2,2,62,2
295000,1,1,2,68,2
650000,16,2,2,106,2
525000,2,2,1,85,2
279000,1,1,1,41,2
675000,4,2,2,103,2
249500,11,3,1,78,4
1350000,6,5,4,210,1
1035000,25,4,3,135,6
695000,7,3,3,120,4
315000,12,3,1,77,4
850000,18,3,3,240,3
575000,25,3,2,114,1
300000,16,2,1,56,2
525000,6,3,3,104,2
695000,6,2,2,136,4
850000,6,4,2,169,4
395000,5,3,3,102,4
350000,8,3,2,94,1
259000,22,3,1,91,1
295000,8,2,1,57,2
325000,14,1,2,50,6
225000,24,3,1,79,4
365000,1,2,1,67,2
575000,16,3,2,117,1
475000,24,3,1,103,3
450000,1,3,1,146,4
425000,3,4,2,107,5
295000,12,2,1,72,4
1800000,3,5,2,198,3
495000,18,3,1,93,4
579950,14,4,3,120,1
550000,14,4,2,102,1
320000,15,2,3,97,1
725000,18,4,2,138,1
445000,15,4,3,150,1
335000,4,1,1,46,2
945000,4,3,2,125,1
350000,12,3,1,83,4
1250000,14,5,4,204,6
220000,9,2,2,60,2
375000,15,3,1,80,1
400000,24,3,2,107,1
375000,7,2,1,65,5
875000,14,4,3,190,5
425000,1,2,2,81,2
395000,9,2,1,75,5
395000,9,3,2,88,1
275000,13,2,2,64,2
485000,2,2,1,94,1
645000,22,4,2,150,6
450000,15,4,3,129,1
280000,11,3,1,96,4
695000,25,3,1,106,1
425000,12,3,2,102,4
450000,4,2,1,59,2
475000,12,3,2,108,5
385000,3,3,1,88,5
450000,24,4,3,132,1
585000,6,3,3,93,4
229000,15,2,2,80,2
695000,16,4,2,125,1
495000,24,4,3,170,1
249000,10,3,1,72,4
395000,7,3,1,70,5
550000,11,3,3,104,6
390000,22,3,2,118,1
325000,5,4,2,91,4
475000,7,3,1,95,4
275000,22,3,1,73,5
250000,11,2,2,88,2
425000,15,4,3,139,1
3000000,4,4,4,261,1
750000,8,3,2,120,4
385000,5,3,1,95,1
625000,8,4,3,204,5
350000,4,1,1,54,2
380000,3,3,1,75,4
265000,18,1,1,53,2
1795000,6,5,5,315,1
