Price,Address,Beds,Baths,Footage,Type
"€760,000","16 The Crescent, Robswall, Malahide, Co. Dublin",4 Bed,3 Bath,178 m²,Terrace
"€300,000","Apartment 26, The Schooner, Alverno, Clontarf, Dublin 3",1 Bed,1 Bath,N/A,Apartment
"€525,000","20 Brookwood Grove, Artane, Dublin 5",3 Bed,1 Bath,105 m²,Semi-D
"€550,000","2 Lissadel Park, Malahide, Co. Dublin",3 Bed,3 Bath,110 m²,Semi-D
"€289,950","64 Cherrywood Drive, Clondalkin, Clondalkin, Dublin 22",3 Bed,1 Bath,74 m²,Semi-D
"€345,000","35 Kickham Road, Inchicore, Inchicore, Dublin 8",3 Bed,1 Bath,80 m²,Terrace
"€1,500,000","Garrison Cottage, Strand Road, Killiney, Co. Dublin",4 Bed,2 Bath,180 m²,Detached
"€195,000","37 Chapel Street, Balbriggan, Co. Dublin",3 Bed,2 Bath,95 m²,End of Terrace
"€225,000","6 Saint Canice's Court, Finglas, Finglas, Dublin 11",2 Bed,1 Bath,65 m²,Duplex
"€525,000","4 Grange Grove, Deans Grange, Co. Dublin",3 Bed,1 Bath,128 m²,Semi-D
"€230,000","89 Fernleigh Drive, Castleknock, Carpenterstown, Dublin 15",1 Bed,1 Bath,49 m²,Apartment
"€795,000","4 Glenomena Park, Booterstown, Co. Dublin",4 Bed,3 Bath,137 m²,Semi-D
"€295,000","12 Páirc Na Cuileann, Ballymun, Ballymun, Dublin 11",4 Bed,3 Bath,100 m²,End of Terrace
"€235,000","33 Curragh Hall Crescent, Tyrellstown, Tyrrelstown, Dublin 15",2 Bed,3 Bath,81 m²,Terrace
"€410,000","13 Hilltown Park, Rivervalley, Swords, Co. Dublin",3 Bed,3 Bath,94 m²,Semi-D
"€495,000","4 The Rise, Carrickmines Manor, Carrickmines, Dublin 18",3 Bed,3 Bath,N/A,End of Terrace
"€175,000","Rose Cottage, 63 New Vale Cottages, Shankill, Dublin 18",N/A,N/A,N/A,Site
"€280,000","46 Hunters Avenue, Hunters Wood, Ballycullen, Dublin 24",2 Bed,2 Bath,N/A,Apartment
"€750,000","14 Coldwater Lakes, Saggart, Co. Dublin",4 Bed,3 Bath,N/A,Detached
"€280,000","50 Knockmaree, Chapelizod, Dublin 20",2 Bed,2 Bath,60 m²,Apartment
"€825,000","36 Home Farm Road Drumcondra Dublin 9, Drumcondra, Dublin 9",4 Bed,2 Bath,145 m²,End of Terrace
"€235,000","Apartment 1, Hillcrest House, Rathgar, Dublin 6",1 Bed,1 Bath,35 m²,Apartment
"€310,000","16 Woodbrook Court, Porterstown, Castleknock, Dublin 15",3 Bed,2 Bath,N/A,Duplex
"€525,000","6 St Patrick's Cottages, Rathfarnham, Dublin 14",3 Bed,1 Bath,70 m²,Bungalow
"€245,000","27 The Steeples, Chapelizod, Chapelizod, Dublin 20",2 Bed,1 Bath,66 m²,Apartment
"€265,000","Apartment 46, Gleneagle House, The Oaks, Swords, Co. Dublin",2 Bed,1 Bath,67 m²,Apartment
"€595,000","22 Brookwood Park, Artane, Artane, Dublin 5",3 Bed,1 Bath,102 m²,Semi-D
"€300,000","Apartment 134, Clifden Court, Dublin 7",2 Bed,1 Bath,56 m²,Apartment
"€295,000","203 Captains Road, Crumlin, Dublin 12",3 Bed,N/A,N/A,End of Terrace
"€235,000","207 The Crescent Building, Park West, Dublin 12",2 Bed,2 Bath,91 m²,Apartment
"€475,000","105 Saint Attracta Road, Cabra, Dublin 7",3 Bed,2 Bath,98 m²,Semi-D
"€470,000","6 Bolton Grove, Ballyboden Road, Rathfarnham, Dublin 14",2 Bed,2 Bath,85 m²,Apartment
"€560,000","5 Bolton Grove, Ballyboden Road, Rathfarnham, Dublin 14",3 Bed,2 Bath,115 m²,Apartment
"€575,000","66 Pembroke Cottages Donnybrook Dublin 4, Donnybrook, Dublin 4",1 Bed,1 Bath,86 m²,Terrace
"€495,000","17 Rock Road, Blackrock, Co. Dublin",2 Bed,1 Bath,61 m²,End of Terrace
"€275,000","4 Catherine's Lane, Constitution Hill, Dublin 7",1 Bed,1 Bath,48 m²,Terrace
"€395,000","12 Rosemount Court, Booterstown, Co. Dublin",2 Bed,1 Bath,58 m²,Semi-D
"€1,300,000","4 Carlton, Pembroke Gardens, Ballsbridge, Dublin 4",3 Bed,3 Bath,184 m²,End of Terrace
"€1,250,000","Dalkey Manor, Dalkey, Co. Dublin",4 Bed,4 Bath,193 m²,Terrace
"€300,000","9 College House, Taylors Hill, Rathfarnham, Dublin 14",2 Bed,2 Bath,70 m²,Apartment
"€249,950","25 Carrigmore Green, Fortunestown Lane, Saggart, Co. Dublin",3 Bed,3 Bath,110 m²,Duplex
"€575,000","273 Navan Road, Dublin 7",5 Bed,2 Bath,158 m²,Semi-D
"€159,500","52 Elmfield Court, Clondalkin, Dublin 22",1 Bed,1 Bath,N/A,Apartment
"€575,000","Apartment 4, The Square, Beggar's Bush, Ballsbridge, Dublin 4",2 Bed,1 Bath,59 m²,Apartment
"€620,000","2 Cranmer Place, Haddington Road, Dublin 4",3 Bed,3 Bath,93 m²,Duplex
"€500,000","Site at South Strand, Skerries, Co. Dublin",N/A,N/A,N/A,Site
"€205,000","Apartment 55, Bolton Square, Dublin 1",1 Bed,1 Bath,41 m²,Apartment
"€280,000","115 Saint Attracta Road, Cabra, Cabra, Dublin 7",2 Bed,1 Bath,61 m²,Terrace
"€280,000","47 Hunters Lane, Hunters Wood, Ballycullen, Dublin 24",2 Bed,1 Bath,63 m²,Apartment
"€685,000","17 Balkill Park, Howth, Dublin 13",3 Bed,2 Bath,128 m²,Semi-D
"€500,000","20 Lanesville, Off Monkstown Avenue, Dun Laoghaire, Co. Dublin",N/A,N/A,N/A,Site
"€295,000","15 Park Crescent House, Blackhorse Avenue, Dublin 7",2 Bed,1 Bath,57 m²,Apartment
"€255,000","72 Saul Road, Crumlin, Crumlin, Dublin 12",3 Bed,1 Bath,74 m²,Terrace
"€235,000","51 The Steeples, Chapelizod, Chapelizod, Dublin 20",2 Bed,1 Bath,62 m²,Apartment
"€285,000","13 Holywell Villas, Swords, Co. Dublin",2 Bed,3 Bath,76 m²,End of Terrace
